Semana,Temporada,Canal,Demanda,Demanda_m3s,Provisto_m3s,Deficit_m3s,Incumplimiento
1,1,1,1,7.310747965880714,6.8310060744154555,0.4797418914652587,1
1,1,1,2,5.197105377543641,4.265896956291008,0.9312084212526335,1
1,1,1,3,12.999160853731894,10.863514839309412,2.1356460144224823,1
1,1,2,1,11.527461078518748,9.771097410432898,1.75636366808585,1
1,1,2,2,5.994413927593452,5.0870660957808695,0.907347831812582,1
1,1,2,3,12.22266931855659,11.86991444818926,0.3527548703673311,1
1,1,3,3,13.302198645669916,11.698441758490535,1.6037568871793813,1
1,1,4,1,11.680851365706461,9.823559309976423,1.8572920557300385,1
2,1,1,1,7.931477302610133,7.767035282111454,0.1644420204986785,1
2,1,1,2,5.13001923510736,4.191747469695726,0.9382717654116339,1
2,1,1,3,7.078862551460273,5.700653606050237,1.3782089454100364,1
2,1,2,1,6.814354350897974,6.246093840268013,0.568260510629961,1
2,1,2,2,9.214245505924978,9.016455665151458,0.19778984077352035,1
2,1,2,3,13.17443561738441,11.44019863247723,1.734236984907179,1
2,1,3,3,7.594234334312925,6.652082091966704,0.9421522423462214,1
2,1,4,1,10.902949425148076,9.306896403841037,1.5960530213070392,1
3,1,1,1,11.241489078491341,9.913670586136059,1.3278184923552825,1
3,1,1,2,10.520471808519803,9.33402881775898,1.1864429907608223,1
3,1,1,3,7.9446575954191765,7.8627534301468085,0.08190416527236799,0
3,1,2,1,12.636057941597608,10.462941994751315,2.173115946846293,1
3,1,2,2,13.684679758979128,12.281811777699316,1.4028679812798117,1
3,1,2,3,13.945522268940914,13.387297671901276,0.5582245970396382,1
3,1,3,3,9.252135044692334,7.443285850741579,1.8088491939507554,1
3,1,4,1,7.686773593849461,6.982102790835678,0.7046708030137827,1
4,1,1,1,11.334782198261472,9.652445907809001,1.6823362904524704,1
4,1,1,2,6.393560740728241,6.18248402923198,0.21107671149626128,1
4,1,1,3,14.84402180703552,13.435888751597528,1.4081330554379932,1
4,1,2,1,6.716792858483035,5.739240668002009,0.9775521904810258,1
4,1,2,2,5.183906765474667,5.095053366178611,0.08885339929605607,0
4,1,2,3,6.177510828901411,5.654296017227005,0.5232148116744062,1
4,1,3,3,7.74055220687206,7.050370517572363,0.6901816892996973,1
4,1,4,1,11.514203883518643,11.12212636652756,0.3920775169910833,1
5,1,1,1,7.064212717606032,5.666905548614797,1.3973071689912349,1
5,1,1,2,6.368856300688073,6.241502920124663,0.1273533805634095,1
5,1,1,3,13.738900775625153,12.632680487055378,1.1062202885697747,1
5,1,2,1,11.005168604336534,10.267903029758992,0.7372655745775418,1
5,1,2,2,6.753712786234496,6.638105359203391,0.11560742703110538,1
5,1,2,3,9.187705248920732,8.05419697254892,1.1335082763718116,1
5,1,3,3,10.189177052828375,8.247050552448359,1.9421265003800166,1
5,1,4,1,6.662833687560794,6.313745998464224,0.34908768909656995,1
6,1,1,1,5.827986679251264,5.365421835307494,0.4625648439437704,1
6,1,1,2,7.4534910968132095,6.543115156108629,0.9103759407045802,1
6,1,1,3,7.886937367706999,6.8705835817978524,1.0163537859091463,1
6,1,2,1,12.190459051842454,10.476777263017462,1.7136817888249922,1
6,1,2,2,10.664046402968971,9.546561838215826,1.1174845647531448,1
